name,resident_advisor_url,appearances,venues,latest_event,energy,experimental,melodic,dark,organic,vocal,depth,classic,genres,scenes,moods,description,similar_artists,soundcloud_url,spotify_id
Shaleen,https://ra.co/events/2142678,2,"Tresor / Globus, It's a Bar",2025-05-19T00:00:00.000,0.05,0.41,0.9,0.57,0.4,0.71,0.67,0.99,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Projekt Gestalten,https://ra.co/events/2142678,1,Tresor / Globus,2025-05-19T00:00:00.000,0.21,0.18,1.0,0.09,0.92,0.55,0.28,0.6,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Ruslan Mays,https://ra.co/events/2142678,1,Tresor / Globus,2025-05-19T00:00:00.000,0.05,0.31,0.38,0.71,0.79,0.78,0.78,0.97,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
DJ Hyaluron,https://ra.co/events/2142678,1,Tresor / Globus,2025-05-19T00:00:00.000,0.57,0.14,0.68,0.32,0.46,0.77,0.58,0.76,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Frankov,https://ra.co/events/2140050,1,KitKatClub,2025-05-19T00:00:00.000,1.0,0.36,0.61,0.15,0.48,0.03,0.03,0.27,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Heinech,https://ra.co/events/2140050,1,KitKatClub,2025-05-19T00:00:00.000,0.3,0.93,0.44,0.05,0.15,0.08,0.44,0.65,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Frankie Flowerz,https://ra.co/events/2140050,1,KitKatClub,2025-05-19T00:00:00.000,0.98,0.46,0.28,0.59,0.09,0.72,0.37,0.31,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Ava Delay,https://ra.co/events/2169900,1,Club der Visionaere,2025-05-19T00:00:00.000,0.9,0.33,0.05,0.12,0.59,0.38,0.52,0.69,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Ben English,https://ra.co/events/2169900,1,Club der Visionaere,2025-05-19T00:00:00.000,0.35,0.48,0.79,0.43,0.24,0.81,0.63,0.72,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Kenneth Scott,https://ra.co/events/2169900,2,"Club der Visionaere, Block1",2025-05-19T00:00:00.000,0.08,0.93,0.94,0.86,0.51,0.92,0.48,0.64,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
